구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,현금비율,현금비율,현금비율,부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율
(주)SNT홀딩스,36530,999999999,999999999,999999999,999999999,999999999,999999999,84798090,65504975,161533664,72283066,60637139,72650119,0,0,0,0,0,0,2.15,0.48,7.85,-0.83,-0.37,-0.62,20.79,-4.33,112.49,-2.59,0.8,-8.83,1.24,-12.74,10.04,15.85,-24.45,-1.7,-11.02,-14.05,302.89,-75.07,-39.73,49.03,3.4,-13.83,12.63,19.05,-32.48,-0.18,90.84,89.48,327.62,70.51,56.25,85.27,0,0,0,0,0,0,2.04,1.73,6.77,1.63,0.98,1.47,2.04,1.73,6.69,1.61,0.98,1.47,0,0,0,0,0,0,13.74,12.49,13.5,15.16,12.29,12.63,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,113.99,118.47,129.66,215.87,267.07,640.14,0.12,0.1,2.05,0.07,0.07,0.05,16077.67,19138.35,1155.4,30571.25,32821.91,38653.84,5179.67,5205.93,5350.96,5257.92,5238.86,5059.58,16077.67,19138.35,1155.4,30571.25,32821.91,38653.84,87.72,88.29,78.34,77.24,76.97,78.86,12.31,11.73,21.22,22.75,23.02,21.13,5792.65,3949.6,463.03,9877.2,4394.02,1554.05,774810996,683347926,640062214,679285814,626881784,610559077,2149176237,2039388864,2169311305,2210178425,2146174938,2113834573,1576368464,1552374806,1612746929,1537700275,1508152132,1401307482,1717.51,1942.54,85.5,1367.77,1160.43,2778.65,569273848,477795324,433769566,487107956,448821933,381612594,1070812404,994978341,1140793639,1205349271,1187727595,1168023374,94.26,96.19,87.35,44.41,46.82,88.29,0,0,0,0,0,0
(주)STX,11810,-0.8,0.53,-0.42,-2.95,1.56,-0.58,-961776000,35691000,-34170000,-34169000,44053000,-14778000,125.22,81.04,77.87,115.77,57.52,63.9,-66.33,-1.48,-1.2,-40.65,-17.09,-14.15,-25.29,13.74,-8.96,-33.44,-20.71,-14.88,-53.97,-31.86,5.48,7.59,8.87,-16.65,0,0,0,0,0,-98.51,0,0,0,0,0,0,-86.86,25.9,-3.92,-31.12,21.07,0.38,4.27,4.49,0.73,-1.95,3.36,0.76,0,0,-84.03,0,0,9.4,-76.32,31.01,-5.02,-54.14,58.56,1.04,95.73,95.51,99.27,101.95,96.64,99.24,5.98,6,7.46,8.3,10.46,12.51,24.25,13.16,9.33,10.35,13.13,13.82,0.88,1.2,1.28,1.74,2.78,2.75,28.77,21.65,24.58,34.68,52.81,45.78,0,1850,1362.39,0,1063.93,618.11,59.74,108.38,97.8,48.26,77.07,82.29,0,73.43,96.62,0,93.47,126.15,55.29,86.28,76.64,32.98,54.31,57.67,0,623.29,545.56,0,381.35,239.36,-39.71,5.26,-1.41,-75.37,-20,-14.35,4.03,11.61,6.85,2.12,16.37,4.99,1852183000,1161340000,1194882000,1038305000,584982000,490033000,1342520000,1255002000,1267224000,707709000,627542000,554061000,2449401000,1634606000,1630827000,1720153000,1803878000,1502985000,7.6,0.33,-2.52,3.17,13.19,5.54,1278680000,788697000,866685000,974743000,553981000,463598000,793607000,893610000,902119000,486347000,475786000,422861000,6.45,0.26,-1.82,2.07,3.93,1.6,5.35,4,4.63,4.63,3.77,4.08
(주)TCC스틸,2710,1.01,1.31,2.11,2.36,1.41,3.46,-7745721,344471,15855157,15351135,8106455,17080602,37.11,39.23,47.14,42.23,48.95,43.81,1.27,3.85,-28.32,-24.13,-0.79,7.73,-11.02,-5.93,43.15,-52,5.06,26.21,-4.79,-4.33,-12.77,-9.38,5.21,5.26,-90.69,161.02,0,0,0,0,-28.5,30.19,34.06,-8.78,-49.14,141.22,0.09,0.25,-40.02,4.88,-0.7,2.15,8.14,9.05,10.96,11.25,8.78,8.68,0.19,0.49,-97.74,18.29,-2.56,8.05,0.09,0.23,-35.38,5.32,-0.93,2.93,91.86,90.95,89.04,88.75,91.22,91.32,6.9,6.88,6.82,7,7.34,8.35,6.05,6.59,6.68,7,7.18,6.37,0.95,0.89,0.88,1.09,1.34,1.36,5.87,5.73,5.86,6.72,7.48,7.92,111.44,119.57,331.91,170.86,177.7,172.63,152.32,74.48,166.66,125.14,68.58,156.79,1167.15,1105.76,342.65,414.56,401.15,440.2,88.67,43.3,128.99,67.23,36.23,80.87,140,152.36,167.9,166.12,163.99,141.85,11.61,-10.49,24.45,7.77,-18.76,17.37,2.21,0.38,1.63,3.37,0.76,9.75,337970494,361962559,290382095,179577101,177776736,192535369,543708595,551000563,376394571,282914735,278692540,304781579,500832754,518995240,495795871,444453635,391370092,413176279,6.85,6.98,9.88,0.68,-13.01,1.98,155751890,283660429,153614700,94244692,160048884,93172096,220034732,233224033,240184174,120777516,120243911,152165969,3.83,4.37,7.17,0.34,-6.21,0.96,5.22,4.78,4.1,4.31,4.22,3.94
(주)가비아,79940,7.48,11.16,28.34,33.33,27.12,25.87,7033504,8382688,11349094,12549259,12712157,18188449,18.54,15.18,9.54,8.99,8.46,9.38,0.69,7.35,2.99,6.08,6.25,6.66,7.77,43.97,16.9,-29.82,23.53,21.65,5.26,8.39,10.34,2.03,5.94,5.41,-34,-18.75,39.37,-17.36,-29.64,10.79,2.91,13.71,31.31,-12.14,-20.23,29.27,9.35,7.01,8.85,7.17,4.76,5.01,39.37,38.79,40.54,41.73,41.64,42.65,11.48,8.43,10.64,8.07,5.36,5.67,7.29,5.69,7.55,5.97,3.95,4.11,60.63,61.21,59.46,58.27,58.36,57.35,20.62,19.63,20.22,21.28,20.11,19.93,466.95,1083.58,0,0,0,0,0.78,0.81,0.85,0.83,0.83,0.82,1.74,1.95,2.18,2.21,2.34,2.36,49.76,46.76,35.76,34.68,36.35,39.1,89.4,113.33,180,119.42,87.26,101.65,522.25,563.66,627.53,671.02,704.26,736.32,88.7,113.33,180,119.42,87.26,101.65,120.01,107.66,94.7,107.73,104.63,102.2,-2.36,3.13,13.44,3.25,-3.4,0.43,45.75,40.72,106.22,82.77,57.66,64.26,22631067,23034370,20985420,29844914,33486064,37253015,91231294,98544072,105081568,125796754,133382584,151440505,70675565,80432047,91648622,102178978,116217941,128728438,44.01,41.89,62.05,61.89,51.98,45.97,14999568,16229926,13210992,20386590,29400833,29792809,37411881,41920706,52239105,60241586,66113388,78058272,18.83,17.02,19.45,19.72,17.2,16.23,3.84,3.4,2.28,2.17,2.13,2.65
(주)강스템바이오텍,217730,,-117.8,-5.41,-18.89,-7.93,-11.95,,,,,-11737865,-11693969,,19.44,4.27,32.77,28.31,23.39,,0,248.26,89.9,-6.18,48.7,,0,406.58,100.92,-35.95,81.24,,0,613.09,-43.23,540.04,-81.44,,0,0,0,0,0,,0,0,0,0,0,,-2130.19,-387.59,-984.85,-201.25,-1348.69,,75.98,82.97,93.16,55.46,72.37,,-99.67,-44.8,-37.55,-45.57,-37.19,,-61.82,-35.79,-22.92,-23.61,-24.39,,24.02,17.03,6.84,44.54,27.63,,0,9.94,3.59,31.39,1.67,,0.93,5.32,1.84,4.67,0.9,,0.03,0.09,0.02,0.12,0.02,,0.08,0.53,0.24,0.65,0.07,,61.22,17.64,106.48,80.43,38.04,,350.22,637.19,1175.05,607.77,319.31,,91.21,307.4,323.31,303.58,460.46,,329.22,625.9,1157.01,564.65,315.67,,77.38,28.66,41.24,81.86,46.12,,37.15,63.77,73.22,45.64,45.73,,52.38,211.66,59.67,82.11,16.89,,,,,22716816,25612644,,,,,47198979,73194018,,,,,9132939,9165454,,-127.38,-97.04,-23.7,-45.52,-59.12,,,,,6368374,20056267,,,,,25246012,48992790,,-1666.57,-244.84,-687.98,-167.44,-1077.17,,2.74,77,5.81,9.97,6.27
(주)강원랜드,35250,1460.36,2126.84,2661.2,2743.01,2717.07,2008.39,388041305,513172052,595400403,618616289,530897334,430699990,0,0,0,0,0,0,6.52,8.86,9.1,7.81,5.19,1.13,-7.55,30.65,28.64,3.62,19.83,-18.85,4.95,9.98,9.29,3.9,-5.41,-10.41,-1.14,24.11,18.32,5.7,-3.93,-31.98,-4.37,32.05,14.74,3.48,-14.25,-18.84,21.6,24.38,26.39,26.85,27.27,20.7,47.06,52.2,53.72,53.85,51.02,49.36,11.95,13.89,15.07,14.56,12.94,8.39,9.74,11.22,12.18,11.87,10.72,7.07,52.94,47.8,46.28,46.15,48.98,50.64,232.36,269.39,330.09,377.05,362.92,199.93,1007.39,1106.13,1154.03,1156.25,1228.69,1175.54,0.45,0.46,0.46,0.44,0.39,0.34,1.02,1.14,1.29,1.35,1.28,1.13,23.04,24.46,23.04,22.23,19.47,17.93,181.76,217.74,261.93,250.76,316.75,275.44,2359.5,2539.19,2802.13,3040.79,3272.68,3352.76,181.5,217.55,261.69,250.58,316.56,275.26,82.11,74.77,65.12,66.93,57.89,69.15,14.96,21.59,29.1,27.2,35.27,26.35,22.75,15.07,15.6,12.73,15.17,7.46,584340350,669769805,693036625,726260115,684421554,644464265,3102036846,3375127289,3690791830,3978987574,4185657487,4231241354,1361286598,1496541441,1633716839,1696532511,1604470055,1438059299,76.58,71.42,79.53,81.75,78.23,64.68,570217325,624516570,664599978,718893173,681337932,636028473,1080401909,1371825587,1750420316,1809513458,2164296051,1759033105,32.82,31.79,33.68,34.89,33.27,28.97,0,0,0,0,0,0
(주)강원에너지,114190,18.11,39.01,762.26,-166.17,-89.84,0.35,,,447206,-1311190,-5588512,341329,4.35,0,0,0,3.21,19.24,-18.84,-7.46,20.74,-12.46,23.9,2.09,-23.52,-20.72,20.38,-15.09,33.43,5.32,-52.42,1.62,-5.11,-9.02,86.99,3.36,-56.3,-71.36,-21.14,0,0,0,-72.15,-49.72,-46,0,0,0,7.74,2.18,1.81,-1.71,-7.57,2.3,23.18,21.2,17.05,16.29,1.04,6.86,9.57,2.33,1.68,-1.4,-12.47,4.1,4.85,1.61,1.2,-1,-7.93,2.23,76.82,78.8,82.95,83.71,98.96,93.14,1.77,2.52,2.39,2.09,2.3,1.97,17.19,26.93,32.89,56.65,238.62,189.82,0.63,0.74,0.66,0.59,1.05,0.97,11.01,6.96,4.96,4.63,8.87,9.49,57.9,32.89,47.48,31.82,86.31,81.83,231.75,294.21,225.55,291.71,181.45,173.94,724.37,701.07,719.61,704.73,617.81,641.46,223.89,283.74,220.81,289.75,180.46,172.59,23.73,36.15,40.44,39.01,45.04,39.61,48.31,48.05,40.4,46.27,34.03,33.25,111.08,72.26,110.71,76.47,37.01,47.85,,,28873556,22097916,44876384,43641869,,,85457457,77186606,93179394,93845576,,,46188664,42287473,82034829,85905365,26.03,7.16,7.59,-0.22,-28.57,-18.17,,,18860326,12090212,33693980,43608244,,,62927388,53716336,68068421,70556730,13.65,2.31,4.05,-0.08,-13.98,-8.53,3.86,2.64,0,0,4.29,15.17
(주)갤럭시아에스엠,11420,2.26,-1.41,9.86,-18.56,-33.36,-102.12,747160,-423280,2101041,-3713866,-3545768,-10337846,5.64,6.49,0,0,0,0,-14.96,18.65,65.8,-16.92,-12.3,-31.91,-27.63,39.73,84.76,-17.22,-23.83,-43.9,-17.37,6.87,62.85,-15.1,-19.16,-40.33,0,0,0,0,0,0,-59.2,0,0,0,0,0,-4.6,-2.82,4.79,-3.42,-15.98,-71.17,8.74,5.28,9.91,0.85,-0.41,-9.45,-5.96,-4.06,6.96,-3.27,-13.83,-46.6,-3.82,-2.49,4.78,-2.54,-11.26,-38.1,91.26,94.72,90.09,99.15,100.41,109.45,7.6,6.78,8.8,7.1,5.37,4.09,0,163.36,266.03,0,0,0,0.83,0.88,1,0.74,0.7,0.54,123.06,154.29,179.64,101.82,90.4,73.41,52,73.18,32.63,24.48,20.9,24.41,165.21,149,270.56,340.35,324.23,222.68,229.05,238.53,367.81,325.57,293.97,194.54,165.21,146.25,270.56,340.35,324.23,222.68,82.23,79.56,52.73,49.76,57.87,70.98,18.12,17.78,37.98,42.39,36.05,23.66,18.33,9.82,137.32,181.08,119.84,120.97,16143563,22068570,18947950,13597774,9336773,6781168,37636664,45274078,68686992,58444606,49831109,33253331,46437304,43885894,62472754,52626331,37281280,22060413,7.77,-7.94,3.24,5.15,-54.71,-76.62,13503615,17868979,16873228,12464561,8744690,6670268,19899780,26742964,44426010,37929417,28750883,14251248,2.94,-4.11,0.99,1.24,-12.54,-22.75,17.36,15.89,19.91,0,0,0
(주)경농,2100,9.47,9.33,6.21,5.39,5.54,9.8,18783505,14653846,12111543,9168484,8447803,14769793,7.26,9.78,19.3,17.34,15.12,16.33,5.66,7.39,14.83,0.57,0.88,5.97,1.71,1.85,20.25,2.27,1.17,8.4,6.27,-3.18,2.08,4.07,-0.02,2.12,108.68,-32.58,-30.01,-11.06,99.95,-16.69,17.23,-14.42,-35.02,-20.79,25.65,67.19,9.88,6.88,4.72,4.03,8.06,6.57,38.56,39.81,38.67,36.89,36.46,37.48,8.75,5.59,3.79,3.3,6.42,5.2,6.57,4.16,2.62,2.17,4.31,3.47,61.44,60.19,61.33,63.11,63.54,62.52,23.69,18.72,13.92,12.41,12.56,10.65,1.99,1.92,1.78,1.65,1.58,1.6,0.67,0.6,0.55,0.54,0.53,0.53,2.61,2.33,2.26,2.35,2.35,2.27,32.14,36.61,53.19,50.87,47.01,52.37,223.01,197.73,147.27,149.74,146.19,143.04,1500.08,1558.19,1595.6,1629.4,1686.9,1724.77,49.84,47.62,35.24,31.68,29.15,37.71,76.52,82.08,89.15,86.74,84.34,85.92,23.22,19.73,13.42,14.12,13.47,13.12,23.2,19.12,8.91,8.11,8.28,8.62,92827213,115707163,141674205,136946019,143720912,155806650,255984725,284623063,316341853,320915151,335873898,357260541,196358952,188483147,196418710,203984939,206534382,212654617,27.16,24.73,2.6,-0.42,13.42,9.71,72472377,90426180,114383542,112348070,121066567,128301300,129526582,139646908,161184139,156061222,163437464,169982099,10.2,11.35,1.74,-0.27,8.06,6.5,11.05,7.88,3.98,2.75,3.77,3.55
(주)경동나비엔,9450,32.7,9.27,9.88,54.24,54.55,18.09,19784395,13464776,24222981,45831937,47757034,40802217,9.18,21.48,10.08,0,3.9,12.01,18.4,9.82,-1.88,7.02,12.59,12.55,-14.85,27.85,-3.21,12.38,20.51,19.12,8.87,2.9,17.24,12.89,12.59,8.47,0.4,-1.83,112.73,48.21,-43.11,40.06,27.65,8.66,29.36,75.83,-12.45,-8.38,2.49,2.38,4.31,5.66,2.86,3.69,23.53,23.26,25.31,27.08,25.73,24.54,5.9,5.51,10.94,14.48,7.54,9.87,3.33,2.87,5.89,8.52,4.41,5.49,76.47,76.74,74.69,72.92,74.27,75.46,7.1,5.95,5.89,6.26,6.31,5.76,10.42,9.76,11.18,12.59,11.61,9.37,1.34,1.21,1.37,1.51,1.54,1.49,3.17,2.71,3.35,3.71,4.04,4.1,86.68,97.1,75.4,65.39,76.28,83.28,79.08,85.61,95.04,108.01,110.15,109.52,1267.67,1318.61,1453.81,1649.93,1742.83,1886.7,50.87,59.47,66.32,77.56,74.43,70.34,121.71,117.24,105.29,95.97,97.09,96.13,-9.21,-6.81,-2.08,3.11,4.14,4.13,4.69,3.33,2.88,8.67,8.26,3.81,167498879,211637077,196007760,190992511,247190712,303492202,354779867,401658957,402084368,429754702,503697210,583595818,414177562,428985365,512031120,583252904,684660958,726741615,15.27,-1.17,4.48,33.15,20.09,0.97,149468556,186324883,177125715,177489101,219839746,275122471,134043087,159947056,158254944,175420277,230894567,287001959,5.75,-0.5,1.4,9,5.97,0.32,2.57,3.51,4.06,4.12,7.7,4.76
(주)경동도시가스,267290,,,,,,99.67,,,,,21664503,42657143,,,,,,1.77,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2.12,,,,,,7.8,,,,,,10.66,,,,,,4.38,,,,,,92.2,,,,,,6.45,,,,,,1235.48,,,,,,2.07,,,,,,5.01,,,,,,143.41,,,,,,117.65,,,,,,2703.04,,,,,,117.31,,,,,,104.83,,,,,,8.54,,,,,,30.93,,,,,415948312,457779539,,,,,710280194,778269612,,,,,871548284,1606531867,,,,,,26.32,,,,,334894003,375912237,,,,,376858740,444232799,,,,,,7.49,,,,,,3.14
(주)경동인베스트,12320,66.34,54.04,29.77,28.09,999999999,-1131.57,50540286,47933045,-13298185,28667528,36380462,39212613,1.22,1.23,1.61,1.68,0,0,-0.6,-5.2,-15.86,-2.44,-64.81,0.23,-3.85,-12.81,-27.19,-14.1,-71.9,-59.67,10.83,-9.93,-43.63,-24.51,-99.94,1118.23,-18.74,-3.06,0,0,-55.68,-78.27,-9.35,-18.96,-51.38,27.97,0,0,1.74,1.87,-0.45,1.6,1183.54,21.11,4.17,4.4,6.56,9.46,0,51.27,9.38,8.32,-1.1,2.96,1.67,0.51,3.97,3.96,-0.6,1.79,1.19,0.49,95.83,95.6,93.44,90.54,0,48.73,6.8,7.08,5.23,4.91,0.01,16.42,2907.82,2705.46,1371,1033.82,1.2,169.75,2.29,2.12,1.33,1.12,0,0.02,9.29,8.09,4.38,3.2,0,0.68,124.72,96.34,68.89,62.48,2.66,2.69,130.31,140.48,155.88,151.9,18036.29,10528.73,2966.22,3218.56,3148.12,3192.42,2619.75,2625.11,130.17,140.25,155.56,151.5,18036.29,10508.05,84.62,83.77,85.09,91.5,66.85,88.28,14.5,16.52,17.79,14.93,34.69,13.9,40.6,45.93,23.7,24.66,490.1,1543.24,706267792,713337643,591340081,538198062,198873241,194135226,1205008353,1320789066,1167819522,1126122628,599276331,592002536,2788264380,2603059058,1604168482,1181902637,195069859,228644016,16.28,6.6,-2.12,0.01,498.31,307.01,596199441,550250914,392919112,337654347,77526863,78414333,778164231,766552554,571798491,508994824,238339688,188460289,3.94,1.49,-0.59,0,6706.42,343.76,4.78,5.06,4.34,5.55,0,0
(주)경방,50,2.9,2.93,4.38,7.08,7.8,7.97,36031739,30618157,38961511,43436569,42309232,40979751,25.94,26.96,24.32,20.32,16.66,17.26,-3.11,1.09,-1.22,-1.79,-3.07,2.29,-21.85,5.26,0.11,-3.85,-11.26,23.35,-0.24,-2.95,19.75,1.99,-8.21,-3.13,0,-5.75,51.76,43.38,-17.1,13.7,335.67,-10.6,20.36,10.22,-7.44,-1.11,5.7,5.54,7.02,9.87,8.91,10.46,15.62,18.64,31.93,33.06,34.62,36.29,2.23,2.13,3.27,4.55,3.67,4.05,1.18,1.12,1.7,2.48,2.11,2.41,84.38,81.36,68.07,66.94,65.38,63.71,8.59,8.19,9.64,9.92,9.74,9.86,6.16,7.32,8.52,8.81,10.27,9.62,0.21,0.2,0.24,0.25,0.24,0.23,0.91,0.93,1.17,1.24,1.21,1.26,83.97,95.68,87.49,79.22,68.65,68.21,89.73,21.53,58.2,66.76,28.67,85.68,5501.5,4753.34,4900.71,5035.48,5186.63,5319.56,49.54,12.62,32.08,38.86,19.65,51.11,172.38,182.84,175.02,167.55,158.6,156.12,-0.72,-23.92,-4.78,-3.24,-14.83,-1.2,3.77,1.19,2.78,2.6,1.88,3.02,660550587,654172565,655690395,622067560,574908164,593023494,1296989142,1301841379,1318643312,1301910960,1274042237,1301792841,347189559,329036023,357628146,377445013,360788750,351438926,6.75,6.41,6.26,9.67,11.57,8.11,135215333,409405729,185946014,155435755,319476563,163151849,103410904,101229398,108093423,106002223,90254697,120711492,14.68,15.56,11.96,16.85,19.61,14.46,3.51,3.27,2.71,2.16,2.24,2.38
(주)경보제약,214390,19.13,25.51,29.2,16.24,24.47,19.43,,,,,,,21.74,28.14,20,20.16,14.07,19.21,12.62,24.4,16.34,4.22,0.56,8.18,20.53,25.08,7.83,-2.74,8.23,16.54,6.15,4.66,4.86,4.88,2.64,5.05,16.85,-49.08,202.34,-51.34,41.38,-26.98,9.04,12.54,-7.36,-39.16,57.67,-29.77,10.45,5.09,14.67,6.8,9.37,6.51,31.26,29.34,27.27,23.62,28.5,24.47,28.05,12.74,27.32,10.08,13.26,9.03,13.3,5.7,14.36,6.37,8.79,6.15,68.74,70.66,72.73,76.38,71.5,75.53,5.56,4.17,4.01,4.07,3.79,3.46,4.63,4.51,3.84,3.85,4.01,3.97,1.27,1.12,0.98,0.94,0.94,0.94,3.83,3.43,2.74,2.35,2.36,2.6,101,145.92,59.17,57.44,44.77,48.73,145.42,113.85,162.85,140.58,183.24,186.01,624.66,635.15,1027.46,1082.55,1183.84,1246.61,85.33,63.5,86.12,75.17,103.8,108.83,85.03,103.26,73.59,78.44,66.59,62.2,18.02,7.06,20.75,14.48,24.53,26.9,9.21,8.12,6.82,6.3,10.61,7.19,,,,,,,,,,,,,,,,,,,24.56,13.8,13.95,19.89,40.35,16.99,,,,,,,,,,,,,10.28,8.1,5.7,7.92,13.34,6.13,4.28,2.83,2.03,2.4,2.87,2.49
(주)경인양행,12610,9.2,8.03,0.07,2.46,0.11,4.74,11145943,14093166,6718134,10577181,7364797,19691167,22.13,21.87,23.74,21.2,26.76,30.84,13.91,-2.64,2.41,5.94,2.37,16.17,30,-12.93,5.55,11.66,-1.03,32.07,29.58,3.98,-8.08,2.43,8.2,14.79,175.44,-26.26,-98.82,3370.59,-85.74,1296.59,301.69,-9.17,-99.32,2843.15,-92.76,7421.82,6.73,4.77,0.06,2.08,0.27,3.33,19.24,19.3,15.21,15.89,15.02,23.74,7.25,4.99,0.06,1.98,0.28,3.81,4.78,3.35,0.04,1.32,0.18,2.31,80.76,80.7,84.79,84.11,84.98,76.26,0,9.43,4.33,4.21,4.28,4.63,3.68,3.22,2.92,2.79,2.98,2.97,0.71,0.7,0.65,0.64,0.66,0.69,2.62,2.54,2.27,2.33,2.36,2.51,54.19,43.39,47.27,51.83,55.58,73.99,139.1,167.52,138.3,135.07,133.19,129.1,881.64,923.02,920.4,945.74,944.86,981.46,70.55,77.81,61.98,64.35,65.08,61.78,85.04,85.88,86.39,85.68,90.05,90.67,12.61,16.17,11.45,11.31,10.5,10.79,5.45,9.7,7.34,10.24,10.52,10.89,127200482,114800458,125562133,136005319,147016537,189237207,316944796,313039125,326687437,344298515,357951470,412996589,260808400,277181095,263163677,274873817,299987729,331102011,6.9,8.34,7.88,3.63,4.28,0.53,108289018,86323503,109310448,119502456,124353660,156924274,175887375,164606526,176664098,191409058,193184742,234817064,3.64,3.54,3.96,2,2.34,0.35,2.25,2.29,1.69,1.41,2.12,2.72
(주)고려시멘트,198440,,,,,16.79,9.2,,,,,,,,,,,8.83,11.04,,,,,0,10.06,,,,,0,29.61,,,,,0,-2.15,,,,,0,362.85,,,,,0,27.17,,,,,1.15,5.42,,,,,13.33,14.77,,,,,1.3,5.67,,,,,0.87,3.82,,,,,86.67,85.23,,,,,2.96,2.81,,,,,26.32,22.65,,,,,0.76,0.7,,,,,1.83,1.77,,,,,49.73,47.42,,,,,166.67,168.76,,,,,2539.18,2705.16,,,,,152.27,154.43,,,,,99.93,89.68,,,,,13.3,15.96,,,,,2.92,3.23,,,,,,,,,,,,,,,,,,,,,,,8.22,5.96,,,,,,,,,,,,,,,,,3.61,2.85,,,,,1.76,3.43
