,Ç×¸ñ
2017,91044
2018,85036
2019,70479
2020,69755
2021,51388
2022,44781
2023,84899
2024,73516
2025,48264
2026,63521
2027,48965
2028,76016
2029,39173
2030,13967
2031,81148
2032,10237
2033,69221
2034,82561
2035,58879
2036,74326
2037,49293
2038,52481
2039,53723
2040,80419
2041,89219
2042,14270
2043,53286
2044,22972
2045,87758
2046,68081
2047,49062
2048,20733
2049,63445
2050,49939
2051,47245
2052,85314
2053,76023
2054,69680
2055,76151
2056,70237
2057,91068
2058,73595
2059,52534
2060,67884
2061,88563
2062,74395
2063,76631
2064,45815
2065,70748
2066,44534
2067,72581
2068,74664
2069,80306
2070,74667
2071,86712
2072,85569
2073,84648
2074,68708
2075,75871
2076,91806
2077,91531
2078,78515
2079,74611
2080,88064
2081,66214
2082,50624
2083,63053
2084,56847
2085,86042
2086,73923
2087,41377
2088,60846
2089,45376
2090,82935
2091,62473
2092,88067
2093,82139
2094,81463
2095,73018
2096,86671
2097,88047
2098,51763
2099,85033
2100,58012
2101,67847
2102,62403
2103,48201
2104,60013
2105,41966
2106,89265
2107,73380
2108,88010
2109,83320
2110,67013
2111,64631
2112,59465
2113,14028
2114,14029
2115,72929
2116,69749
2117,66361
2118,14031
2119,70118
2120,85484
2121,77601
2122,70941
2123,61656
2124,51411
2125,49662
2126,91082
2127,61582
2128,71191
2129,17029
2130,84045
2131,19582
2132,69789
2133,53733
2134,70984
2135,19912
2136,10009
2137,72517
2138,14398
2139,15323
2140,21214
2141,11081
2142,20584
2143,60423
2144,10061
2145,10142
2146,58808
2147,28283
2148,89041
2149,28186
2150,16256
2151,41693
2152,20582
2153,50289
2154,29972
2155,57945
2156,49635
2157,42423
2158,72339
2159,85172
2160,50948
2161,40235
2162,28361
2163,52410
2164,53195
2165,61366
2166,18256
2167,70440
2168,56299
2169,62870
2170,15512
2171,53328
2172,41404
2173,16344
2174,40234
2175,56381
2176,54412
2177,56368
2178,56701
2179,66669
2180,63691
2181,69107
2182,10365
2183,60060
2184,43815
2185,65306
2186,78242
2187,28319
2188,53495
2189,14203
2190,56362
2191,53236
2192,40400
2193,51949
2194,42884
2195,51276
2196,60716
2197,42935
2198,69610
2199,45803
2200,41022
2201,82048
2202,60765
2203,81966
2204,77262
2205,13970
2206,46980
2207,39702
2208,89713
2209,78164
2210,51873
2211,86179
2212,48279
2213,69475
2214,63897
2215,12817
2216,66263
2217,54452
2218,86467
2219,88200
2220,73306
2221,46743
2222,58595
2223,44609
2224,59038
2225,12819
2226,60910
2227,65822
2228,21664
2229,64892
2230,10916
2231,12849
2232,51308
2233,59390
2234,79743
2235,43025
2236,62309
2237,67404
2238,82693
2239,80211
2240,38812
2241,69232
2242,77564
2243,19064
2244,72763
2245,63443
2246,91232
2247,76654
2248,66824
2249,84814
2250,53766
2251,67543
2252,41428
2253,12825
2254,49901
2255,87409
2256,56450
2257,10160
2258,82019
2259,61140
2260,86321
2261,21678
2262,12829
2263,12830
2264,87928
2265,70715
2266,65899
2267,89834
2268,39832
2269,69100
2270,67790
2271,17424
2272,40890
2273,12836
2274,53167
2275,21682
2276,69863
2277,12838
2278,59411
2279,16671
2280,63775
2281,12839
2282,56233
2283,72336
2284,47333
2285,47335
2286,50037
2287,76477
2288,54670
2289,87891
2290,12843
2291,12844
2292,85578
2293,67678
2294,90317
2295,86324
2296,86326
2297,72837
2298,76691
2299,70161
2300,21695
2301,12850
2302,12851
2303,56917
2304,72949
2305,28514
2306,50877
2307,12852
2308,21701
2309,72169
2310,67460
2311,12856
2312,77637
2313,42998
2314,48153
2315,63136
2316,59258
2317,76778
2318,78726
2319,49677
2320,41502
2321,82718
2322,70371
2323,21705
2324,90854
2325,40049
2326,61471
2327,38887
2328,51720
2329,86071
2330,86870
2331,87303
2332,58865
2333,12429
2334,18099
2335,54435
2336,80236
2337,29889
2338,90320
2339,61475
2340,44000
2341,50211
2342,64991
2343,44915
2344,47791
2345,47792
2346,51001
2347,54586
2348,54592
2349,57642
2350,86623
2351,21715
2352,84714
2353,78846
2354,83048
2355,49462
2356,65047
2357,29292
2358,63940
2359,43890
2360,63675
2361,77126
2362,45703
2363,78864
2364,79026
2365,76748
2366,43092
2367,90297
2368,60761
2369,61757
2370,82710
2371,76958
2372,90349
2373,64996
2374,80481
2375,61732
2376,64344
2377,82122
2378,81989
2379,12875
2380,58922
2381,66548
2382,52250
2383,12878
2384,74199
2385,49665
2386,80740
2387,73753
2388,58408
2389,85006
2390,77559
2391,83283
2392,81194
2393,76357
2394,52347
2395,51677
2396,92344
2397,91156
2398,77478
2399,92234
2400,89525
2401,39710
2402,60906
2403,12890
2404,77367
2405,91206
2406,63338
2407,90556
2408,40154
2409,12894
2410,90550
2411,45211
2412,81580
2413,21758
2414,43517
2415,88270
2416,88269
2417,76430
2418,68823
2419,51919
2420,66838
2421,45774
2422,60517
2423,46790
2424,67332
2425,64293
2426,67032
2427,53511
2428,67056
2429,57785
2430,56716
2431,81977
2432,45975
2433,58040
2434,84711
2435,58877
2436,56554
2437,56890
2438,57066
2439,42073
2440,91902
2441,78037
2442,45782
2443,58835
2444,63213
2445,44685
2446,56447
2447,88628
2448,56482
2449,60480
2450,62052
2451,48282
2452,52437
2453,52446
2454,58870
2455,72428
2456,86602
2457,52943
2458,42954
2459,51358
2460,71406
2461,80689
2462,51273
2463,21774
2464,84523
2465,74912
2466,66518
2467,51778
2468,56587
2469,12910
2470,21785
2471,57861
2472,51585
2473,78288
2474,52151
2475,12911
2476,17449
2477,61939
2478,64643
2479,64363
2480,51685
2481,72665
2482,10708
2483,80530
2484,12915
2485,12916
2486,68876
2487,62122
